"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 04 14:07:00 GMT 2022","Fri Nov 04 14:07:06 GMT 2022","5996","","test","","test","TC-01 - Registration on the website Redmine.com","TC-01 - Registration on the website Redmine.com",""
"passed","Fri Nov 04 14:07:06 GMT 2022","Fri Nov 04 14:07:10 GMT 2022","3610","","test","","test","TC-02 - Authorization on the website Redmine.com","TC-02 - Authorization on the website Redmine.com",""
"passed","Fri Nov 04 14:07:13 GMT 2022","Fri Nov 04 14:07:14 GMT 2022","1225","","test","","test","TC-04 - Testing the search","TC-04 - Testing the search",""
"passed","Fri Nov 04 14:07:14 GMT 2022","Fri Nov 04 14:07:15 GMT 2022","1474","","test","","test","TC-05 - Checking the forum","TC-05 - Checking the forum",""
"passed","Fri Nov 04 14:07:10 GMT 2022","Fri Nov 04 14:07:13 GMT 2022","3195","","test","","test","TC-03 - Password recovery","TC-03 - Password recovery",""
