"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 04 13:46:18 GMT 2022","Fri Nov 04 13:46:22 GMT 2022","3618","","test","","test","TC-02 - Authorization on the website Redmine.com","TC-02 - Authorization on the website Redmine.com",""
"failed","Fri Nov 04 13:46:09 GMT 2022","Fri Nov 04 13:46:18 GMT 2022","8774","","test","","test","TC-01 - Registration on the website Redmine.com","TC-01 - Registration on the website Redmine.com",""
"failed","Fri Nov 04 13:46:22 GMT 2022","Fri Nov 04 13:46:25 GMT 2022","2831","","test","","test","TC-03 - Password recovery","TC-03 - Password recovery",""
"passed","Fri Nov 04 13:46:26 GMT 2022","Fri Nov 04 13:46:27 GMT 2022","1590","","test","","test","TC-05 - Checking the forum","TC-05 - Checking the forum",""
"passed","Fri Nov 04 13:46:25 GMT 2022","Fri Nov 04 13:46:26 GMT 2022","1164","","test","","test","TC-04 - Testing the search","TC-04 - Testing the search",""
