"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 04 13:44:43 GMT 2022","Fri Nov 04 13:44:48 GMT 2022","4711","","test","","test","TC-03 - Password recovery","TC-03 - Password recovery",""
"failed","Fri Nov 04 13:44:31 GMT 2022","Fri Nov 04 13:44:38 GMT 2022","7371","","test","","test","TC-01 - Registration on the website Redmine.com","TC-01 - Registration on the website Redmine.com",""
"failed","Fri Nov 04 13:44:38 GMT 2022","Fri Nov 04 13:44:43 GMT 2022","4708","","test","","test","TC-02 - Authorization on the website Redmine.com","TC-02 - Authorization on the website Redmine.com",""
"passed","Fri Nov 04 13:44:48 GMT 2022","Fri Nov 04 13:44:49 GMT 2022","1514","","test","","test","TC-04 - Testing the search","TC-04 - Testing the search",""
"passed","Fri Nov 04 13:44:49 GMT 2022","Fri Nov 04 13:44:51 GMT 2022","1856","","test","","test","TC-05 - Checking the forum","TC-05 - Checking the forum",""
